City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,itoigawa,37.0333,137.85,59.45,96,100,4.85,JP,1730073353
343,shevchenko,48.5,35.0,48.13,79,79,7.43,UA,1730073354
344,howrah,22.5892,88.3103,80.6,89,40,0.0,IN,1730073355
345,vorkuta,67.5,64.0,27.99,93,72,4.76,RU,1730073357
346,pariaman,-0.619,100.12,77.05,76,40,3.27,ID,1730073358
347,argo,37.6333,22.7333,59.16,48,0,3.89,GR,1730073359
348,kas,36.2018,29.6377,67.87,49,94,4.61,TR,1730073360
349,revda,56.801,59.9303,29.3,89,98,3.69,RU,1730073361
350,vadso,70.0744,29.7487,42.96,87,75,18.41,NO,1730073363
351,salalah,17.0151,54.0924,78.89,78,0,2.3,OM,1730073111
352,afaahiti,-17.75,-149.2833,73.85,76,84,13.24,PF,1730073365
353,surgut,61.25,73.4167,32.18,100,40,0.0,RU,1730073199
354,qinhuangdao,39.9317,119.5883,50.27,51,0,1.9,CN,1730073367
355,ko pha ngan,9.7578,100.0291,77.68,78,100,18.79,TH,1730073368
356,mahanoro,-19.9,48.8,74.5,91,92,5.39,MG,1730073369
357,masallatah,32.6167,14.0,66.38,71,50,15.21,LY,1730073371
358,bel ombre,-4.6167,55.4167,78.64,78,20,1.14,SC,1730073372
359,byron bay,-28.65,153.6167,68.2,75,100,10.65,AU,1730073373
360,cambria,35.5641,-121.0808,61.05,86,100,3.0,US,1730073374
361,nuuk,64.1835,-51.7216,29.01,80,100,4.61,GL,1730073375
362,uray,60.1247,64.7758,32.52,87,100,4.27,RU,1730073376
363,la tuque,47.4334,-72.7824,30.45,47,54,5.75,CA,1730073378
